! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:44:30 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
    ho2-lt24 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
         37.    6.32e+02      36.414  5.1305e+00
         38.    7.56e+02      37.474  4.4475e+00
         39.    8.91e+02      38.544  3.8555e+00
         40.    1.02e+03      39.628  3.3422e+00
         41.    1.20e+03      40.725  2.8973e+00
         42.    1.45e+03      41.831  2.5116e+00
         43.    1.79e+03      42.946  2.1772e+00
         44.    2.24e+03      44.068  1.8874e+00
         45.    2.85e+03      45.194  1.6362e+00
         46.    3.63e+03      46.324  1.4183e+00
         47.    4.61e+03      47.455  1.2295e+00
         48.    5.83e+03      48.585  1.0659e+00
         49.    7.31e+03      49.712  9.2396e-01
         50.    9.07e+03      50.836  8.0096e-01
         51.    1.11e+04      51.953  6.9434e-01
         52.    1.33e+04      53.063  6.0191e-01
         53.    1.55e+04      54.165  5.2178e-01
         54.    1.72e+04      55.256  4.5232e-01
         55.    1.81e+04      56.336  3.9211e-01
         56.    1.84e+04      57.403  3.3991e-01
         57.    1.83e+04      58.458  2.9466e-01
         58.    1.84e+04      59.499  2.5543e-01
         59.    1.88e+04      60.526  2.2143e-01
         60.    1.95e+04      61.539  1.9195e-01
         61.    2.07e+04      62.538  1.6640e-01
         62.    2.22e+04      63.523  1.4425e-01
         63.    2.40e+04      64.494  1.2504e-01
         64.    2.61e+04      65.452  1.0840e-01
         65.    2.85e+04      66.396  9.3968e-02
         66.    3.09e+04      67.328  8.1459e-02
         67.    3.32e+04      68.248  7.0615e-02
         68.    3.49e+04      69.156  6.1215e-02
         69.    3.51e+04      70.055  5.3066e-02
         70.    3.25e+04      70.943  4.6001e-02
         71.    2.68e+04      71.823  3.9878e-02
         72.    1.94e+04      72.694  3.4569e-02
         73.    1.31e+04      73.558  2.9967e-02
         74.    8.68e+03      74.415  2.5978e-02
         75.    5.53e+03      75.265  2.2520e-02
         76.    2.93e+03      76.109  1.9522e-02
         77.    1.21e+03      76.948  1.6923e-02
         78.    4.51e+02      77.782  1.4670e-02
         79.    1.66e+02      78.610  1.2717e-02
         80.    5.68e+01      79.435  1.1024e-02
         81.    1.61e+01      80.255  9.5567e-03
         82.    3.95e+00      81.072  8.2845e-03
         83.    1.45e+00      81.886  7.1817e-03
         84.    6.76e-01      82.698  6.2256e-03
         85.    3.68e-01      83.508  5.3969e-03
         86.    2.25e-01      84.318  4.6784e-03
         87.    1.51e-01      85.127  4.0556e-03
         88.    1.09e-01      85.936  3.5157e-03
         89.    8.27e-02      86.744  3.0477e-03
         90.    6.60e-02      87.551  2.6420e-03
         91.    5.47e-02      88.356  2.2903e-03
         92.    4.69e-02      89.157  1.9854e-03
         93.    4.14e-02      89.953  1.7211e-03
         94.    3.73e-02      90.743  1.4920e-03
         95.    3.44e-02      91.527  1.2934e-03
         96.    3.22e-02      92.303  1.1212e-03
         97.    3.06e-02      93.073  9.7193e-04
         98.    2.94e-02      93.836  8.4255e-04
         99.    2.85e-02      94.594  7.3038e-04
        100.    2.78e-02      95.346  6.3315e-04
        101.    2.74e-02      96.096  5.4887e-04
        102.    2.72e-02      96.844  4.7580e-04
        103.    2.72e-02      97.592  4.1246e-04
        104.    2.74e-02      98.343  3.5755e-04
        105.    2.77e-02      99.098  3.0996e-04
        106.    2.83e-02      99.861  2.6869e-04
        107.    2.92e-02     100.634  2.3292e-04
        108.    3.05e-02     101.422  2.0192e-04
        109.    3.22e-02     102.227  1.7504e-04
        110.    3.45e-02     103.055  1.5174e-04
        111.    3.78e-02     103.911  1.3154e-04
        112.    4.21e-02     104.802  1.1403e-04
        113.    4.80e-02     105.737  9.8847e-05
        114.    5.57e-02     106.722  8.5688e-05
        115.    6.54e-02     107.765  7.4281e-05
        116.    7.72e-02     108.873  6.4393e-05
        117.    9.12e-02     110.048  5.5821e-05
        118.    1.07e-01     111.287  4.8390e-05
        119.    1.27e-01     112.588  4.1948e-05
        120.    1.53e-01     113.942  3.6364e-05

!=========================================================================================

          10/ 8/1995  | <- simulation date of this field, mm/dd/yy 

