! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:41:10 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
    o3p-lt24 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    1.29e-05       0.000  1.0132e+03
          1.    2.01e-05       1.253  8.7836e+02
          2.    2.15e-05       2.474  7.6143e+02
          3.    2.43e-05       3.665  6.6007e+02
          4.    4.31e-05       4.825  5.7220e+02
          5.    6.09e-05       5.956  4.9603e+02
          6.    4.66e-05       7.061  4.3000e+02
          7.    4.61e-05       8.137  3.7275e+02
          8.    5.31e-05       9.185  3.2313e+02
          9.    6.44e-05      10.204  2.8012e+02
         10.    8.97e-05      11.192  2.4283e+02
         11.    1.61e-04      12.149  2.1050e+02
         12.    3.07e-04      13.077  1.8248e+02
         13.    4.42e-04      13.977  1.5819e+02
         14.    3.21e-04      14.853  1.3713e+02
         15.    1.89e-04      15.712  1.1887e+02
         16.    2.31e-04      16.563  1.0305e+02
         17.    3.08e-04      17.415  8.9331e+01
         18.    4.18e-04      18.271  7.7439e+01
         19.    5.76e-04      19.132  6.7130e+01
         20.    8.00e-04      20.002  5.8194e+01
         21.    1.12e-03      20.882  5.0447e+01
         22.    1.56e-03      21.773  4.3731e+01
         23.    2.17e-03      22.674  3.7910e+01
         24.    3.04e-03      23.585  3.2863e+01
         25.    4.25e-03      24.507  2.8488e+01
         26.    5.96e-03      25.439  2.4696e+01
         27.    8.36e-03      26.384  2.1408e+01
         28.    1.17e-02      27.340  1.8558e+01
         29.    1.65e-02      28.307  1.6088e+01
         30.    2.31e-02      29.286  1.3946e+01
         31.    3.23e-02      30.275  1.2090e+01
         32.    4.52e-02      31.274  1.0480e+01
         33.    6.34e-02      32.283  9.0851e+00
         34.    8.89e-02      33.300  7.8756e+00
         35.    1.25e-01      34.328  6.8272e+00
         36.    1.74e-01      35.366  5.9184e+00
         37.    2.43e-01      36.414  5.1305e+00
         38.    3.40e-01      37.474  4.4475e+00
         39.    4.79e-01      38.544  3.8555e+00
         40.    6.79e-01      39.628  3.3422e+00
         41.    9.42e-01      40.725  2.8973e+00
         42.    1.29e+00      41.831  2.5116e+00
         43.    1.74e+00      42.946  2.1772e+00
         44.    2.35e+00      44.068  1.8874e+00
         45.    3.13e+00      45.194  1.6362e+00
         46.    4.16e+00      46.324  1.4183e+00
         47.    5.49e+00      47.455  1.2295e+00
         48.    7.20e+00      48.585  1.0659e+00
         49.    9.39e+00      49.712  9.2396e-01
         50.    1.22e+01      50.836  8.0096e-01
         51.    1.57e+01      51.953  6.9434e-01
         52.    2.02e+01      53.063  6.0191e-01
         53.    2.58e+01      54.165  5.2178e-01
         54.    3.29e+01      55.256  4.5232e-01
         55.    4.16e+01      56.336  3.9211e-01
         56.    5.24e+01      57.403  3.3991e-01
         57.    6.58e+01      58.458  2.9466e-01
         58.    8.24e+01      59.499  2.5543e-01
         59.    1.03e+02      60.526  2.2143e-01
         60.    1.29e+02      61.539  1.9195e-01
         61.    1.62e+02      62.538  1.6640e-01
         62.    2.05e+02      63.523  1.4425e-01
         63.    2.69e+02      64.494  1.2504e-01
         64.    3.60e+02      65.452  1.0840e-01
         65.    4.60e+02      66.396  9.3968e-02
         66.    5.73e+02      67.328  8.1459e-02
         67.    7.09e+02      68.248  7.0615e-02
         68.    8.77e+02      69.156  6.1215e-02
         69.    1.08e+03      70.055  5.3066e-02
         70.    1.34e+03      70.943  4.6001e-02
         71.    1.65e+03      71.823  3.9878e-02
         72.    2.04e+03      72.694  3.4569e-02
         73.    2.53e+03      73.558  2.9967e-02
         74.    3.20e+03      74.415  2.5978e-02
         75.    4.24e+03      75.265  2.2520e-02
         76.    5.63e+03      76.109  1.9522e-02
         77.    6.58e+03      76.948  1.6923e-02
         78.    6.49e+03      77.782  1.4670e-02
         79.    5.68e+03      78.610  1.2717e-02
         80.    4.84e+03      79.435  1.1024e-02
         81.    4.54e+03      80.255  9.5567e-03
         82.    6.17e+03      81.072  8.2845e-03
         83.    1.11e+04      81.886  7.1817e-03
         84.    1.80e+04      82.698  6.2256e-03
         85.    2.66e+04      83.508  5.3969e-03
         86.    3.72e+04      84.318  4.6784e-03
         87.    5.05e+04      85.127  4.0556e-03
         88.    6.73e+04      85.936  3.5157e-03
         89.    8.84e+04      86.744  3.0477e-03
         90.    1.15e+05      87.551  2.6420e-03
         91.    1.48e+05      88.356  2.2903e-03
         92.    1.90e+05      89.157  1.9854e-03
         93.    2.41e+05      89.953  1.7211e-03
         94.    3.04e+05      90.743  1.4920e-03
         95.    3.81e+05      91.527  1.2934e-03
         96.    4.76e+05      92.303  1.1212e-03
         97.    5.93e+05      93.073  9.7193e-04
         98.    7.37e+05      93.836  8.4255e-04
         99.    9.15e+05      94.594  7.3038e-04
        100.    1.14e+06      95.346  6.3315e-04
        101.    1.42e+06      96.096  5.4887e-04
        102.    1.77e+06      96.844  4.7580e-04
        103.    2.22e+06      97.592  4.1246e-04
        104.    2.79e+06      98.343  3.5755e-04
        105.    3.54e+06      99.098  3.0996e-04
        106.    4.52e+06      99.861  2.6869e-04
        107.    5.82e+06     100.634  2.3292e-04
        108.    7.58e+06     101.422  2.0192e-04
        109.    1.00e+07     102.227  1.7504e-04
        110.    1.34e+07     103.055  1.5174e-04
        111.    1.84e+07     103.911  1.3154e-04
        112.    2.59e+07     104.802  1.1403e-04
        113.    3.74e+07     105.737  9.8847e-05
        114.    5.52e+07     106.722  8.5688e-05
        115.    8.27e+07     107.765  7.4281e-05
        116.    1.24e+08     108.873  6.4393e-05
        117.    1.84e+08     110.048  5.5821e-05
        118.    2.68e+08     111.287  4.8390e-05
        119.    3.76e+08     112.588  4.1948e-05
        120.    5.08e+08     113.942  3.6364e-05

!=========================================================================================

          10/ 8/1995  | <- simulation date of this field, mm/dd/yy 

